date,price
2026-04-17,633.541
2026-04-18,626.067
2026-04-19,626.067
2026-04-20,622.112
2026-04-21,614.555
2026-04-22,612.861
2026-04-23,615.722
2026-04-24,618.662
2026-04-25,618.662
2026-04-26,618.662
2026-04-27,609.425
2026-04-28,598.778
2026-04-29,593.601
2026-04-30,605.482
2026-05-01,608.744
2026-05-02,605.007
2026-05-03,605.007
2026-05-04,590.657
2026-05-05,597.950
2026-05-18,597.041
2026-05-19,592.620
2026-05-20,594.241
2026-05-21,590.803
2026-05-22,592.628
2026-05-23,591.292
2026-05-24,591.292
2026-05-25,596.783
2026-05-26,590.860
2026-05-27,581.864
2026-05-28,589.420
2026-05-29,598.612
2026-05-30,594.653
2026-05-31,594.653
2026-06-01,586.272
2026-06-02,589.810
2026-06-03,586.748
2026-06-04,593.673
2026-06-05,577.517
2026-06-06,576.524
2026-06-07,576.524
2026-06-08,584.679
2026-06-09,573.775
2026-06-10,556.298
2026-06-11,550.623
2026-06-12,565.343
2026-06-13,566.299
2026-06-14,566.299
2026-06-15,583.217
2026-06-16,582.134
2026-06-17,585.949
2026-06-18,575.504
2026-06-19,568.070
2026-06-20,568.858
2026-06-21,568.858
2026-06-22,574.115
2026-06-23,566.877
2026-06-24,548.519
2026-06-25,550.919
2026-06-26,553.663
2026-06-27,553.421
2026-06-28,553.421
2026-06-29,543.113
2026-06-30,545.156
2026-07-01,553.218
2026-07-02,557.579
2026-07-03,561.220
2026-07-04,562.648
2026-07-05,562.648
2026-07-06,560.731
2026-07-07,557.500
2026-07-08,544.832
2026-07-09,556.992
2026-07-10,554.135
2026-07-11,555.050
2026-07-12,555.050
2026-07-13,541.415
2026-07-14,548.803
2026-07-15,546.251
2026-07-16,540.323
